-500	831.13
-490	831.28
-480	831.51
-470	831.83
-460	831.94
-450	832.00
-440	832.25
-430	832.55
-420	832.60
-410	832.94
-400	832.90
-390	833.11
-380	833.26
-370	833.52
-360	833.61
-350	834.10
-340	834.21
-330	834.18
-320	834.27
-310	834.57
-300	834.97
-290	835.13
-280	835.24
-270	835.53
-260	835.71
-250	835.94
-240	835.93
-230	836.31
-220	836.31
-210	836.50
-200	836.71
-190	836.87
-180	837.14
-170	837.24
-160	837.38
-150	837.47
-140	837.77
-130	837.83
-120	838.12
-110	838.30
-100	838.56
-90	838.61
-80	838.75
-70	838.99
-60	839.09
-50	839.39
-40	839.36
-30	839.54
-20	839.71
-10	839.95
0	840.02
10	840.28
20	840.52
30	840.52
40	840.91
50	841.10
60	841.23
70	841.34
80	841.38
90	841.64
100	841.82
110	841.76
120	842.08
130	841.98
140	842.48
150	842.59
160	842.54
170	842.87
180	842.94
190	842.94
200	843.19
210	843.24
220	843.11
230	843.53
240	843.71
250	843.89
260	844.01
270	844.06
280	844.29
290	844.46
300	844.59
310	844.79
320	844.88
330	844.88
340	845.17
350	845.31
360	845.40
370	845.52
380	845.76
390	845.73
400	845.94
410	845.98
420	846.02
430	846.30
440	846.31
450	846.42
460	846.41
470	846.62
480	846.75
490	846.96
500	846.98
