-500	834.29
-490	834.38
-480	834.56
-470	834.62
-460	834.60
-450	834.67
-440	834.62
-430	834.82
-420	834.71
-410	834.74
-400	834.97
-390	834.99
-380	835.20
-370	835.06
-360	834.99
-350	835.22
-340	835.18
-330	835.19
-320	835.33
-310	835.39
-300	835.37
-290	835.43
-280	835.47
-270	835.58
-260	835.49
-250	835.46
-240	835.76
-230	835.67
-220	835.79
-210	835.77
-200	835.89
-190	835.95
-180	835.93
-170	836.13
-160	836.11
-150	836.12
-140	836.23
-130	836.36
-120	836.57
-110	836.59
-100	836.60
-90	836.67
-80	836.83
-70	837.00
-60	836.90
-50	837.06
-40	837.09
-30	837.19
-20	837.22
-10	837.26
0	837.32
10	837.38
20	837.39
30	837.58
40	837.77
50	837.80
60	837.80
70	837.86
80	837.82
90	837.99
100	838.13
110	838.10
120	838.26
130	838.22
140	838.31
150	838.40
160	838.39
170	838.48
180	838.56
190	838.67
200	838.78
210	838.73
220	838.73
230	838.82
240	838.93
250	838.91
260	838.98
270	839.01
280	839.05
290	839.17
300	839.20
310	839.30
320	839.29
330	839.31
340	839.42
350	839.42
360	839.46
370	839.42
380	839.48
390	839.59
400	839.63
410	839.70
420	839.73
430	839.83
440	839.91
450	839.83
460	839.96
470	840.09
480	840.15
490	840.19
500	840.16
